Symbol,Name,Rank,Price,7d Change,30d Change,90d Change
BNB,BNB,5,619.5191261420143,11.01639677,-7.18746275,-11.8846164
BTC,Bitcoin,1,83923.19674539607,1.38778368,-12.64453709,-17.92207635
ETH,Ethereum,2,2027.8088868408886,6.34778295,-26.34034456,-45.18420001
SOL,Solana,6,129.13151533428234,2.29871884,-29.82965041,-38.48852561
XRP,XRP,4,2.3401648529794574,6.43728033,-12.38518428,-2.92869569
DOGE,Dogecoin,9,0.1713633375708354,2.14721515,-34.82946817,-52.98935738
PEPE,Pepe,32,7.5227835535244355e-06,16.59036632,-23.68118244,-61.37072051
PNUT,Peanut the Squirrel,234,0.17571989402465554,10.06077934,15.84758861,-78.16432461
SPX,SPX6900,127,0.4162037635544161,41.70050541,-40.45059603,-35.66568825
WIF,dogwifhat,108,0.49496935170149126,10.52338301,-27.63617692,-78.30566788
JTO,Jito,89,2.194767093871461,0.25727625,-26.11132253,-27.40254672
PYTH,Pyth Network,98,0.15457090863556372,8.78602289,-28.21839869,-61.37689344
RAY,Raydium,100,1.8660465070111119,17.0578647,-61.34177305,-60.180825
RENDER,Render,51,3.354189176618234,10.34415169,-25.60580692,-57.79685116
W,Wormhole,161,0.08622763421942128,-1.05648828,-51.97895482,-70.5898168
AERO,Aerodrome Finance,119,0.5316841700324717,-0.1389675,-35.6606134,-67.58915792
AIXBT,aixbt,368,0.09978969490361358,-3.60359181,-54.41464603,-66.38895418
BRETT,Brett (Based),136,0.033005440268420304,10.65522748,-25.40136789,-77.91759105
VIRTUAL,Virtuals Protocol,113,0.686823748526617,19.47639071,-43.51324643,-74.65988546
WELL,Moonwell,3205,0.024018504772040514,34.45254134,-23.12968101,-67.32079098
